source_id,Stromgren_mag_u,Stromgren_mag_v,Stromgren_mag_b,Stromgren_mag_y,Stromgren_flux_u,Stromgren_flux_v,Stromgren_flux_b,Stromgren_flux_y,Stromgren_flux_error_u,Stromgren_flux_error_v,Stromgren_flux_error_b,Stromgren_flux_error_y,StromgrenStd_mag_v,StromgrenStd_mag_b,StromgrenStd_mag_y,StromgrenStd_flux_v,StromgrenStd_flux_b,StromgrenStd_flux_y,StromgrenStd_flux_error_v,StromgrenStd_flux_error_b,StromgrenStd_flux_error_y
2851814170936555776,8.938755626705245,9.389266327868047,9.014756993501937,8.678240940582839,8.524280836521321e-15,1.2948321341542111e-14,1.4233024685853693e-14,1.2215285552135568e-14,2.61756142312548e-16,6.378747490134729e-16,3.676575099255756e-16,1.661066253075764e-16,9.544815890282909,9.020472704073555,8.68808838028093,1.304949315415951e-14,1.414525947433815e-14,1.2319828093718355e-14,6.250426080573256e-16,4.361772638984914e-16,1.8329919370581303e-16
2854107442954122624,9.363158286189488,9.909531195734946,9.21889550506734,9.116871709920588,5.766292725226381e-15,8.018765657123963e-15,1.1793475195940689e-14,8.155513595332586e-15,7.091908851540336e-16,1.5414760904599488e-15,1.1318335005733154e-15,7.810959196552476e-16,10.063526384581149,9.246235037991028,9.132176082686364,8.092998244133939e-15,1.148962845112505e-14,8.184074364339424e-15,1.6168993684086792e-15,1.1298598296005285e-15,8.639103333159971e-16
3211296783218366336,6.443398724538433,6.887976226066026,6.880542066818055,6.9400735874336945,8.487905001177981e-14,1.2963716039646412e-13,1.0162093191070677e-13,6.05578663315682e-14,1.4476251067932403e-15,2.132494285609907e-15,5.227744575593564e-16,8.628494754634708e-16,7.056647962016076,6.853048179638655,6.947392893330509,1.290805523688642e-13,1.0413116522079014e-13,6.121852234680094e-14,2.060899285841089e-15,5.655624833934878e-16,8.89487494634958e-16
1735730806984435712,7.908747879814641,8.68466061374075,8.47725668619071,8.907104725218595,2.2012068116784217e-14,2.4777401282277325e-14,2.3350561350545773e-14,9.893685704964253e-15,1.3202178835494889e-15,2.483516632249189e-15,1.759392936103111e-15,1.2306707318719545e-15,8.85633067332039,8.459607712135984,8.921359932880776,2.46029809686083e-14,2.3711384615421206e-14,9.937932139011626e-15,2.6911739898900963e-15,1.786101184202337e-15,1.3429861097536583e-15
2007176176083408640,9.183648836019216,9.789347558344428,8.55235248113721,8.094516449986045,6.8029999159090694e-15,8.957379544810618e-15,2.179008917318334e-14,2.091189646307088e-14,3.213988153837262e-16,9.056104851465392e-16,1.2076439229006888e-15,1.781079896359456e-15,9.80447603403557,8.556125711238629,8.14069259770293,1.0273764026476249e-14,2.169450350903891e-14,2.0396843370741288e-14,1.1389726503005512e-15,1.1529745636985953e-15,1.9358671192078915e-15
391885121171018624,7.334778569819846,7.727908599767478,7.34689449358623,7.039266411370662,3.734638517882375e-14,5.980762547608386e-14,6.613665146491185e-14,5.5270505350620776e-14,5.992661630251459e-16,8.89325248316405e-16,4.0643900689284047e-16,4.1843642935546115e-16,7.870065333791938,7.355012370744561,7.0528747696943555,6.102304383333176e-14,6.55835697253017e-14,5.555077114653528e-14,9.242825497782414e-16,4.2332155639751577e-16,4.527594338815834e-16
529716187982962560,8.900884823760798,9.24482000012139,8.988285958814483,8.98485612125431,8.826856586676316e-15,1.4790811420703785e-14,1.458430091575836e-14,9.209955917542461e-15,4.984972023291592e-16,1.1170192581340952e-15,5.41928664505782e-16,7.657885857003753e-16,9.40369255966684,8.97950829418712,8.988343327008195,1.4860826921128988e-14,1.4689150562230264e-14,9.343351107123864e-15,1.1168239392711359e-15,5.562942778599884e-16,8.143797414954011e-16
390034814901709440,9.793160397364822,10.115456003773641,9.649540566931027,9.283634611945779,3.880572851736576e-15,6.633421567699102e-15,7.932019500505199e-15,6.994330584372356e-15,9.500429494492689e-17,3.1200235715976775e-16,3.734853252623966e-16,3.4168380481708753e-16,10.322330266567466,9.644615341943194,9.311713597297079,6.376581184835455e-15,7.960747758322728e-15,6.93672633274494e-15,3.4634629398961376e-16,3.4207269532039454e-16,3.8504627934099703e-16
3002971043795474176,8.149089042458527,8.659239792308991,8.301229407366133,7.952361036847229,1.7641048055443055e-14,2.5364370192238932e-14,2.746048713009595e-14,2.383721893222801e-14,4.3568679372987697e-16,3.6361368697719657e-16,2.400287038372976e-16,3.0873381940542823e-16,8.795029070316279,8.297018028596618,7.965246948025211,2.603205012746225e-14,2.7541829698848453e-14,2.397403973442924e-14,3.904364683635846e-16,2.3791858686521323e-16,3.1656280834415586e-16
2081388160068434048,9.44903720479865,9.94008907500572,9.584942284160991,9.202226911970776,5.3277657065740806e-15,7.796225100165393e-15,8.418274565476672e-15,7.538921743436616e-15,3.244194761223942e-16,8.631779632349154e-16,4.357872252567072e-16,2.535600978689928e-16,10.104552366641787,9.559445112166799,9.21956551384448,7.792899103152646e-15,8.610372795863789e-15,7.551162119826576e-15,9.148023421990487e-16,5.029109290689665e-16,2.7307175977640186e-16
